sample_id,split,total_calories,total_protein,total_carb,total_fat,image_path
637,train,116.116005,0.812,30.855999,0.203,data/processed/food-nutrients/images/000637.jpg
638,train,289.050018,11.200001,11.35,24.75,data/processed/food-nutrients/images/000638.jpg
639,train,431.21994,12.482895,47.433929,25.580051,data/processed/food-nutrients/images/000639.jpg
640,train,113.066399,3.483331,9.832837,7.04521,data/processed/food-nutrients/images/000640.jpg
641,test,72.832504,1.415911,2.375517,6.920829,data/processed/food-nutrients/images/000641.jpg
642,test,469.942139,75.774841,6.330505,13.549142,data/processed/food-nutrients/images/000642.jpg
643,train,250.919998,2.601,33.149998,12.75,data/processed/food-nutrients/images/000643.jpg
644,val,906.761047,83.275085,51.688858,40.265182,data/processed/food-nutrients/images/000644.jpg
645,val,25.562342,0.462009,5.129289,0.615221,data/processed/food-nutrients/images/000645.jpg
646,train,115.544006,0.808,30.703999,0.202,data/processed/food-nutrients/images/000646.jpg
647,train,163.716354,3.405009,36.953289,2.007221,data/processed/food-nutrients/images/000647.jpg
648,train,60.989998,0.749,14.98,0.321,data/processed/food-nutrients/images/000648.jpg
649,train,59.689999,1.143,15.24,0.127,data/processed/food-nutrients/images/000649.jpg
650,val,14.25,1.026,2.85,0.171,data/processed/food-nutrients/images/000650.jpg
651,train,116.116005,0.812,30.855999,0.203,data/processed/food-nutrients/images/000651.jpg
652,train,251.04599,3.73,63.925999,0.822,data/processed/food-nutrients/images/000652.jpg
653,train,45.029999,0.553,11.06,0.237,data/processed/food-nutrients/images/000653.jpg
654,train,70.330002,4.81,0.182,5.46,data/processed/food-nutrients/images/000654.jpg
655,train,8.5,0.085,2.21,0.017,data/processed/food-nutrients/images/000655.jpg
656,train,72.959999,0.96,17.280001,0.0,data/processed/food-nutrients/images/000656.jpg
657,train,196.820007,6.408,30.732002,5.714,data/processed/food-nutrients/images/000657.jpg
658,train,482.108826,50.326538,10.669066,24.459951,data/processed/food-nutrients/images/000658.jpg
659,train,19.110001,0.833,3.822,0.441,data/processed/food-nutrients/images/000659.jpg
660,train,39.368401,0.531219,1.441863,3.721487,data/processed/food-nutrients/images/000660.jpg
661,test,540.587341,51.690758,15.932929,28.622438,data/processed/food-nutrients/images/000661.jpg
662,train,124.429993,8.51,0.322,9.66,data/processed/food-nutrients/images/000662.jpg
663,train,142.579987,8.895,4.722,9.825,data/processed/food-nutrients/images/000663.jpg
664,train,229.97998,10.045,25.422001,9.825,data/processed/food-nutrients/images/000664.jpg
665,train,296.926727,19.817259,4.042251,21.685364,data/processed/food-nutrients/images/000665.jpg
666,train,415.946747,27.957258,4.350251,30.925364,data/processed/food-nutrients/images/000666.jpg
667,val,436.946686,29.397259,8.55025,31.165363,data/processed/food-nutrients/images/000667.jpg
668,train,705.734741,44.451256,11.82625,52.459366,data/processed/food-nutrients/images/000668.jpg
669,test,12.95,0.888,2.59,0.148,data/processed/food-nutrients/images/000669.jpg
670,train,11.88,1.674,1.782,0.162,data/processed/food-nutrients/images/000670.jpg
671,train,16.368,2.158,2.64,0.184,data/processed/food-nutrients/images/000671.jpg
672,train,290.348022,13.488,36.630001,10.175,data/processed/food-nutrients/images/000672.jpg
673,train,360.832489,14.747198,39.46653,16.641808,data/processed/food-nutrients/images/000673.jpg
674,train,402.746216,15.597241,42.538006,19.749413,data/processed/food-nutrients/images/000674.jpg
675,test,194.405991,35.888,1.521,4.107,data/processed/food-nutrients/images/000675.jpg
676,train,230.485992,38.512001,5.047,5.829,data/processed/food-nutrients/images/000676.jpg
677,train,316.725983,41.438,22.757,5.983,data/processed/food-nutrients/images/000677.jpg
678,train,55.385956,1.123272,4.05874,4.106483,data/processed/food-nutrients/images/000678.jpg
679,train,140.562927,2.779168,6.836887,12.200334,data/processed/food-nutrients/images/000679.jpg
680,train,156.962936,3.499168,9.556887,12.440333,data/processed/food-nutrients/images/000680.jpg
681,train,450.561432,40.378578,14.105441,25.549509,data/processed/food-nutrients/images/000681.jpg
682,train,153.900009,5.3124,22.971003,4.56,data/processed/food-nutrients/images/000682.jpg
683,train,334.460022,17.5124,24.923002,17.98,data/processed/food-nutrients/images/000683.jpg
684,train,445.299988,18.3964,35.803001,25.459999,data/processed/food-nutrients/images/000684.jpg
685,train,469.059998,18.7264,41.743,25.525999,data/processed/food-nutrients/images/000685.jpg
686,train,290.139984,2.314,28.48,19.58,data/processed/food-nutrients/images/000686.jpg
687,test,512.140015,17.313999,30.879999,36.080002,data/processed/food-nutrients/images/000687.jpg
688,train,551.546021,21.035,32.832001,38.153999,data/processed/food-nutrients/images/000688.jpg
689,test,140.980011,5.83,17.49,5.141,data/processed/food-nutrients/images/000689.jpg
690,val,63.720001,0.885,15.93,0.177,data/processed/food-nutrients/images/000690.jpg
691,train,81.660004,1.067,20.610001,0.229,data/processed/food-nutrients/images/000691.jpg
692,train,125.660004,4.267,24.91,2.329,data/processed/food-nutrients/images/000692.jpg
693,train,13.33,1.054,2.79,0.093,data/processed/food-nutrients/images/000693.jpg
694,train,19.07,1.18,4.19,0.121,data/processed/food-nutrients/images/000694.jpg
695,train,28.970001,1.675,6.335,0.231,data/processed/food-nutrients/images/000695.jpg
696,train,36.970001,2.075,8.135,0.271,data/processed/food-nutrients/images/000696.jpg
697,train,39.370003,2.315,8.615,0.271,data/processed/food-nutrients/images/000697.jpg
698,train,75.812004,0.998628,2.976039,7.072568,data/processed/food-nutrients/images/000698.jpg
699,train,99.962006,2.654628,7.806039,7.348568,data/processed/food-nutrients/images/000699.jpg
700,train,108.642006,3.004627,9.871039,7.418569,data/processed/food-nutrients/images/000700.jpg
701,train,348.57666,26.293562,13.254406,21.192875,data/processed/food-nutrients/images/000701.jpg
702,train,169.694122,3.199019,5.269608,16.186766,data/processed/food-nutrients/images/000702.jpg
703,train,192.444122,4.75902,9.819608,16.446766,data/processed/food-nutrients/images/000703.jpg
704,train,552.346069,39.692425,14.894657,37.108223,data/processed/food-nutrients/images/000704.jpg
705,train,624.236084,43.010422,29.983656,37.50322,data/processed/food-nutrients/images/000705.jpg
706,test,89.376663,9.622075,6.143951,8.445811,data/processed/food-nutrients/images/000706.jpg
707,val,107.856659,10.966075,7.949951,9.32781,data/processed/food-nutrients/images/000707.jpg
708,val,61.089886,1.151647,1.897059,5.827236,data/processed/food-nutrients/images/000708.jpg
709,train,152.643005,1.968,36.161999,0.246,data/processed/food-nutrients/images/000709.jpg
710,train,227.313004,2.885,54.501999,0.639,data/processed/food-nutrients/images/000710.jpg
711,train,37.619999,0.462,9.24,0.198,data/processed/food-nutrients/images/000711.jpg
712,train,227.329987,15.712,10.704,13.007999,data/processed/food-nutrients/images/000712.jpg
713,train,309.235992,16.768,30.107998,13.139999,data/processed/food-nutrients/images/000713.jpg
714,val,451.635986,29.228001,32.778,22.040001,data/processed/food-nutrients/images/000714.jpg
715,train,43.279999,2.96,0.112,3.36,data/processed/food-nutrients/images/000715.jpg
716,train,103.699997,3.702,14.952001,3.678,data/processed/food-nutrients/images/000716.jpg
717,train,222.759506,5.249,43.154999,3.797,data/processed/food-nutrients/images/000717.jpg
718,test,73.599998,6.44,1.38,4.6,data/processed/food-nutrients/images/000718.jpg
719,train,96.389999,7.182,6.256,4.865,data/processed/food-nutrients/images/000719.jpg
720,train,163.423492,8.053,22.135,4.932,data/processed/food-nutrients/images/000720.jpg
721,test,339.543488,19.953001,24.039,18.021999,data/processed/food-nutrients/images/000721.jpg
722,train,357.043518,21.153002,27.539,18.222002,data/processed/food-nutrients/images/000722.jpg
723,train,18.799999,0.6,3.65,0.335,data/processed/food-nutrients/images/000723.jpg
724,train,45.019997,0.866,10.49,0.411,data/processed/food-nutrients/images/000724.jpg
725,val,73.110001,1.29,17.379999,0.57,data/processed/food-nutrients/images/000725.jpg
726,train,114.972008,0.804,30.551998,0.201,data/processed/food-nutrients/images/000726.jpg
727,train,163.962006,1.301,43.332001,0.343,data/processed/food-nutrients/images/000727.jpg
728,train,175.162018,2.069,45.571999,0.471,data/processed/food-nutrients/images/000728.jpg
729,train,11.2,0.768,2.24,0.128,data/processed/food-nutrients/images/000729.jpg
730,train,39.289997,1.192,9.13,0.287,data/processed/food-nutrients/images/000730.jpg
731,train,153.690002,1.992,39.529999,0.487,data/processed/food-nutrients/images/000731.jpg
732,test,306.393005,11.872001,12.031,26.235001,data/processed/food-nutrients/images/000732.jpg
733,train,334.483002,12.296,18.921,26.394001,data/processed/food-nutrients/images/000733.jpg
734,train,345.333008,13.040001,21.091,26.518002,data/processed/food-nutrients/images/000734.jpg
735,test,359.192993,13.334001,24.451,26.644001,data/processed/food-nutrients/images/000735.jpg
736,train,25.410002,0.539,6.16,0.231,data/processed/food-nutrients/images/000736.jpg
737,train,53.5,0.963,13.049999,0.39,data/processed/food-nutrients/images/000737.jpg
738,train,64.349998,1.707,15.219999,0.514,data/processed/food-nutrients/images/000738.jpg
739,train,111.269997,2.183,27.460001,0.65,data/processed/food-nutrients/images/000739.jpg
740,train,25.410002,0.539,6.16,0.231,data/processed/food-nutrients/images/000740.jpg
741,train,31.710001,0.971,7.42,0.303,data/processed/food-nutrients/images/000741.jpg
742,train,61.740002,1.751,14.05,0.342,data/processed/food-nutrients/images/000742.jpg
743,train,176.140015,2.551,44.450001,0.542,data/processed/food-nutrients/images/000743.jpg
744,train,25.410002,0.539,6.16,0.231,data/processed/food-nutrients/images/000744.jpg
745,train,139.810013,1.339,36.559998,0.431,data/processed/food-nutrients/images/000745.jpg
746,val,168.430008,1.771,43.579998,0.593,data/processed/food-nutrients/images/000746.jpg
747,train,312.955017,7.371,49.254997,12.968,data/processed/food-nutrients/images/000747.jpg
748,train,462.480011,17.92,18.16,39.599998,data/processed/food-nutrients/images/000748.jpg
749,test,518.369995,18.487,32.740002,39.761997,data/processed/food-nutrients/images/000749.jpg
750,train,529.220032,19.230999,34.91,39.885998,data/processed/food-nutrients/images/000750.jpg
751,train,55.889999,0.567,14.580001,0.162,data/processed/food-nutrients/images/000751.jpg
752,test,83.449997,0.983,21.34,0.318,data/processed/food-nutrients/images/000752.jpg
753,train,108.360001,1.359,27.450001,0.459,data/processed/food-nutrients/images/000753.jpg
754,train,98.959999,1.312,25.1,0.459,data/processed/food-nutrients/images/000754.jpg
755,train,55.889999,0.567,14.580001,0.162,data/processed/food-nutrients/images/000755.jpg
756,train,122.110001,2.287,29.200001,0.248,data/processed/food-nutrients/images/000756.jpg
757,train,132.959991,3.031,31.370003,0.372,data/processed/food-nutrients/images/000757.jpg
758,train,66.220001,1.72,14.62,0.086,data/processed/food-nutrients/images/000758.jpg
759,train,274.335999,9.784,22.792,17.906,data/processed/food-nutrients/images/000759.jpg
760,test,302.425995,10.208,29.681999,18.065001,data/processed/food-nutrients/images/000760.jpg
761,train,313.625977,10.976,31.922001,18.192999,data/processed/food-nutrients/images/000761.jpg
762,train,66.220001,1.72,14.62,0.086,data/processed/food-nutrients/images/000762.jpg
763,train,94.309998,2.144,21.51,0.245,data/processed/food-nutrients/images/000763.jpg
764,val,107.18,2.417,24.630001,0.362,data/processed/food-nutrients/images/000764.jpg
765,train,222.152008,3.221,55.181995,0.563,data/processed/food-nutrients/images/000765.jpg
766,train,208.141998,3.224,51.121998,0.322,data/processed/food-nutrients/images/000766.jpg
767,train,236.23201,3.648,58.011997,0.481,data/processed/food-nutrients/images/000767.jpg
768,train,11.2,0.768,2.24,0.128,data/processed/food-nutrients/images/000768.jpg
769,train,39.289997,1.192,9.13,0.287,data/processed/food-nutrients/images/000769.jpg
770,train,206.938995,7.688,15.712999,14.642001,data/processed/food-nutrients/images/000770.jpg
771,train,114.972008,0.804,30.551998,0.201,data/processed/food-nutrients/images/000771.jpg
772,train,126.172005,1.572,32.792,0.329,data/processed/food-nutrients/images/000772.jpg
773,train,154.262009,1.996,39.681999,0.488,data/processed/food-nutrients/images/000773.jpg
774,train,114.972008,0.804,30.551998,0.201,data/processed/food-nutrients/images/000774.jpg
775,train,126.172005,1.572,32.792,0.329,data/processed/food-nutrients/images/000775.jpg
776,train,322.726013,9.188,40.509998,17.159,data/processed/food-nutrients/images/000776.jpg
777,train,114.972008,0.804,30.551998,0.201,data/processed/food-nutrients/images/000777.jpg
778,test,82.832451,1.291914,3.110637,7.752181,data/processed/food-nutrients/images/000778.jpg
779,train,252.700012,10.45,31.35,9.215,data/processed/food-nutrients/images/000779.jpg
780,train,28.089998,0.424,6.89,0.159,data/processed/food-nutrients/images/000780.jpg
781,val,143.062012,1.228,37.441998,0.36,data/processed/food-nutrients/images/000781.jpg
782,train,189.292007,1.697,49.501999,0.494,data/processed/food-nutrients/images/000782.jpg
783,train,46.23,0.469,12.06,0.134,data/processed/food-nutrients/images/000783.jpg
784,train,381.528015,13.461,25.226002,28.844002,data/processed/food-nutrients/images/000784.jpg
785,train,495.928009,14.261001,55.626003,29.044003,data/processed/food-nutrients/images/000785.jpg
786,train,352.641022,13.664001,13.847,30.195,data/processed/food-nutrients/images/000786.jpg
787,val,467.613037,14.468,44.398998,30.396,data/processed/food-nutrients/images/000787.jpg
788,train,521.433044,15.014,58.438999,30.552,data/processed/food-nutrients/images/000788.jpg
789,train,549.52301,15.438001,65.328995,30.711,data/processed/food-nutrients/images/000789.jpg
790,train,271.707001,10.528,10.669,23.264999,data/processed/food-nutrients/images/000790.jpg
791,train,296.617004,11.005,17.028999,23.317999,data/processed/food-nutrients/images/000791.jpg
792,train,307.117004,11.725,19.129,23.438,data/processed/food-nutrients/images/000792.jpg
793,train,54.099998,3.7,0.14,4.2,data/processed/food-nutrients/images/000793.jpg
794,val,125.135506,4.623,16.966999,4.271,data/processed/food-nutrients/images/000794.jpg
795,train,88.349998,1.085,21.700001,0.465,data/processed/food-nutrients/images/000795.jpg
796,train,58.279999,1.116,14.88,0.124,data/processed/food-nutrients/images/000796.jpg
797,train,56.676903,3.716384,9.842957,1.420199,data/processed/food-nutrients/images/000797.jpg
798,train,115.066795,5.03466,12.20121,6.580434,data/processed/food-nutrients/images/000798.jpg
799,train,775.029236,54.541294,22.731771,51.820778,data/processed/food-nutrients/images/000799.jpg
800,train,25.08,1.824,2.451,1.197,data/processed/food-nutrients/images/000800.jpg
801,val,24.639999,1.792,2.408,1.176,data/processed/food-nutrients/images/000801.jpg
802,train,160.845459,18.901001,4.518153,7.257577,data/processed/food-nutrients/images/000802.jpg
803,train,202.445465,19.764999,13.478154,7.353578,data/processed/food-nutrients/images/000803.jpg
804,train,293.279999,12.48,33.279999,12.48,data/processed/food-nutrients/images/000804.jpg
805,val,451.753998,14.587999,50.211998,22.271999,data/processed/food-nutrients/images/000805.jpg
806,train,24.0,0.24,6.24,0.048,data/processed/food-nutrients/images/000806.jpg
807,val,43.800003,0.636,11.256,0.18,data/processed/food-nutrients/images/000807.jpg
808,train,120.560005,1.646,29.436001,0.18,data/processed/food-nutrients/images/000808.jpg
809,test,30.544943,0.575824,0.948529,2.913618,data/processed/food-nutrients/images/000809.jpg
810,train,144.716934,2.047824,27.996531,3.097618,data/processed/food-nutrients/images/000810.jpg
811,train,301.606934,12.777824,28.402531,15.277617,data/processed/food-nutrients/images/000811.jpg
812,train,497.719971,34.040001,1.288,38.639999,data/processed/food-nutrients/images/000812.jpg
813,train,676.799988,46.139999,3.224,51.949997,data/processed/food-nutrients/images/000813.jpg
814,train,980.047974,63.124001,6.92,75.973999,data/processed/food-nutrients/images/000814.jpg
815,train,566.840027,38.299999,6.128,42.130001,data/processed/food-nutrients/images/000815.jpg
816,test,942.454041,59.336998,10.706,71.887001,data/processed/food-nutrients/images/000816.jpg
817,train,93.749001,1.205,21.931,0.241,data/processed/food-nutrients/images/000817.jpg
818,train,145.150009,3.95,16.35,7.150001,data/processed/food-nutrients/images/000818.jpg
819,train,181.351425,4.632458,17.474182,10.603177,data/processed/food-nutrients/images/000819.jpg
820,test,193.880005,13.1,2.096,14.41,data/processed/food-nutrients/images/000820.jpg
821,train,362.734009,22.556999,4.154,27.786999,data/processed/food-nutrients/images/000821.jpg
822,train,401.494019,23.033001,13.674002,27.991001,data/processed/food-nutrients/images/000822.jpg
823,train,401.494019,23.033001,13.674002,27.991001,data/processed/food-nutrients/images/000823.jpg
824,val,587.794006,29.463799,41.481003,33.510998,data/processed/food-nutrients/images/000824.jpg
825,train,46.909065,0.911943,1.529994,4.457482,data/processed/food-nutrients/images/000825.jpg
826,train,58.741066,2.187943,3.791994,4.515482,data/processed/food-nutrients/images/000826.jpg
827,train,71.93322,2.5801,6.105719,4.986071,data/processed/food-nutrients/images/000827.jpg
828,test,330.740997,27.0408,9.966405,20.443512,data/processed/food-nutrients/images/000828.jpg
829,train,7.56,0.378,1.638,0.084,data/processed/food-nutrients/images/000829.jpg
830,test,39.600002,0.823,9.648001,0.173,data/processed/food-nutrients/images/000830.jpg
831,train,77.559998,4.983,10.636,2.669,data/processed/food-nutrients/images/000831.jpg
832,val,108.409973,9.205687,12.151617,6.256616,data/processed/food-nutrients/images/000832.jpg
833,train,117.181976,10.151685,13.828617,6.299616,data/processed/food-nutrients/images/000833.jpg
834,train,131.041962,12.104685,15.907618,6.488616,data/processed/food-nutrients/images/000834.jpg
835,train,157.99173,12.479585,17.011694,8.97491,data/processed/food-nutrients/images/000835.jpg
836,val,184.383316,13.026852,18.360016,11.224784,data/processed/food-nutrients/images/000836.jpg
837,train,291.633301,33.176849,18.360016,13.564784,data/processed/food-nutrients/images/000837.jpg
838,test,430.621216,40.699318,6.42366,25.719105,data/processed/food-nutrients/images/000838.jpg
839,train,556.721252,43.318321,33.583664,26.010103,data/processed/food-nutrients/images/000839.jpg
840,test,597.531189,44.518318,40.813663,26.680105,data/processed/food-nutrients/images/000840.jpg
841,train,661.441162,46.178318,54.923664,26.763107,data/processed/food-nutrients/images/000841.jpg
842,train,76.023148,10.405902,3.734912,8.840912,data/processed/food-nutrients/images/000842.jpg
843,train,408.523132,24.155903,44.984913,20.965912,data/processed/food-nutrients/images/000843.jpg
844,test,414.733154,24.938904,45.956913,21.073912,data/processed/food-nutrients/images/000844.jpg
845,train,421.465118,25.664904,47.243912,21.106911,data/processed/food-nutrients/images/000845.jpg
846,train,436.965942,26.125687,49.96254,21.659855,data/processed/food-nutrients/images/000846.jpg
847,train,16.02,0.801,3.471,0.178,data/processed/food-nutrients/images/000847.jpg
848,train,23.5,1.855,4.593,0.28,data/processed/food-nutrients/images/000848.jpg
849,train,41.639214,2.394216,7.774373,0.927059,data/processed/food-nutrients/images/000849.jpg
850,train,49.320004,0.685,12.330001,0.137,data/processed/food-nutrients/images/000850.jpg
851,test,349.449951,29.051191,16.807095,18.062435,data/processed/food-nutrients/images/000851.jpg
852,train,462.933777,44.584641,22.382402,31.259737,data/processed/food-nutrients/images/000852.jpg
853,train,555.932739,46.5131,27.133636,39.187859,data/processed/food-nutrients/images/000853.jpg
854,train,140.755188,2.918753,7.191059,11.999318,data/processed/food-nutrients/images/000854.jpg
855,train,146.875183,3.578753,8.361059,12.029318,data/processed/food-nutrients/images/000855.jpg
856,train,174.248901,4.392478,13.16204,13.005788,data/processed/food-nutrients/images/000856.jpg
857,train,207.098907,7.992478,14.017039,15.165788,data/processed/food-nutrients/images/000857.jpg
858,train,400.337677,11.468402,21.281317,33.12727,data/processed/food-nutrients/images/000858.jpg
859,train,143.540421,13.56644,2.14122,8.573035,data/processed/food-nutrients/images/000859.jpg
860,train,196.840424,14.67344,13.621221,8.696033,data/processed/food-nutrients/images/000860.jpg
861,test,211.92131,14.986163,14.39169,9.981677,data/processed/food-nutrients/images/000861.jpg
862,test,223.801331,15.850163,15.552691,10.548676,data/processed/food-nutrients/images/000862.jpg
863,train,55.050571,0.990234,2.069475,5.116934,data/processed/food-nutrients/images/000863.jpg
864,train,69.738571,2.574234,4.877475,5.188934,data/processed/food-nutrients/images/000864.jpg
865,train,92.058571,2.884234,10.457476,5.250934,data/processed/food-nutrients/images/000865.jpg
866,train,474.832947,39.061409,16.167395,28.112362,data/processed/food-nutrients/images/000866.jpg
867,test,132.666138,12.538679,1.979007,7.923563,data/processed/food-nutrients/images/000867.jpg
868,train,308.951691,36.668308,10.639672,28.424227,data/processed/food-nutrients/images/000868.jpg
869,train,333.635681,39.330307,15.358673,28.545227,data/processed/food-nutrients/images/000869.jpg
870,val,392.135712,40.545307,27.958673,28.680227,data/processed/food-nutrients/images/000870.jpg
871,train,411.967804,43.259884,28.932995,30.986551,data/processed/food-nutrients/images/000871.jpg
872,train,413.946655,43.318707,29.280058,31.057137,data/processed/food-nutrients/images/000872.jpg
873,train,7.956,0.858,1.521,0.039,data/processed/food-nutrients/images/000873.jpg
874,train,89.644272,2.551919,5.694383,7.00289,data/processed/food-nutrients/images/000874.jpg
875,train,25.134001,0.474,4.74,0.426,data/processed/food-nutrients/images/000875.jpg
876,train,177.003006,4.287,27.525,5.913,data/processed/food-nutrients/images/000876.jpg
877,train,2.21,0.255,0.374,0.034,data/processed/food-nutrients/images/000877.jpg
878,train,24.540001,0.835,5.304,0.063,data/processed/food-nutrients/images/000878.jpg
879,train,165.200012,10.455,5.668,10.983,data/processed/food-nutrients/images/000879.jpg
880,train,190.400009,11.379,10.077999,11.382001,data/processed/food-nutrients/images/000880.jpg
881,train,280.679993,17.479,11.053999,18.092001,data/processed/food-nutrients/images/000881.jpg
882,train,28.5,0.35,7.0,0.15,data/processed/food-nutrients/images/000882.jpg
883,train,41.419998,0.654,10.04,0.226,data/processed/food-nutrients/images/000883.jpg
884,train,51.919998,0.864,12.7,0.296,data/processed/food-nutrients/images/000884.jpg
885,train,66.419998,1.009,16.469999,0.325,data/processed/food-nutrients/images/000885.jpg
886,val,83.790001,1.029,20.58,0.441,data/processed/food-nutrients/images/000886.jpg
887,val,289.369995,15.089001,21.112,16.400999,data/processed/food-nutrients/images/000887.jpg
888,val,333.769989,16.717001,28.882,17.103998,data/processed/food-nutrients/images/000888.jpg
889,train,444.769989,24.217001,30.082001,25.354,data/processed/food-nutrients/images/000889.jpg
890,train,90.637001,1.165,21.202999,0.233,data/processed/food-nutrients/images/000890.jpg
891,train,87.761002,14.900001,5.364,0.596,data/processed/food-nutrients/images/000891.jpg
892,train,116.279999,1.428,28.559999,0.612,data/processed/food-nutrients/images/000892.jpg
893,test,172.779999,1.993,43.25,0.725,data/processed/food-nutrients/images/000893.jpg
894,train,237.639999,2.651,60.169998,0.913,data/processed/food-nutrients/images/000894.jpg
895,train,260.679993,2.971,65.93,0.977,data/processed/food-nutrients/images/000895.jpg
896,train,380.799988,26.071001,67.547005,1.439,data/processed/food-nutrients/images/000896.jpg
897,train,168.720001,11.400001,1.824,12.54,data/processed/food-nutrients/images/000897.jpg
898,train,244.421005,12.376,19.757999,12.662,data/processed/food-nutrients/images/000898.jpg
899,train,265.871002,12.831,24.958,12.856999,data/processed/food-nutrients/images/000899.jpg
900,train,509.321014,29.480999,25.587999,31.757,data/processed/food-nutrients/images/000900.jpg
901,val,51.000004,1.02,12.919999,0.34,data/processed/food-nutrients/images/000901.jpg
902,train,113.280006,1.885,28.49,0.513,data/processed/food-nutrients/images/000902.jpg
903,val,150.779999,2.26,38.239998,0.588,data/processed/food-nutrients/images/000903.jpg
904,train,313.079987,13.360001,38.66,13.188,data/processed/food-nutrients/images/000904.jpg
905,train,495.119995,25.66,40.627998,26.717999,data/processed/food-nutrients/images/000905.jpg
906,train,14.040001,0.195,3.51,0.039,data/processed/food-nutrients/images/000906.jpg
907,train,39.540001,0.45,10.139999,0.09,data/processed/food-nutrients/images/000907.jpg
908,test,62.340004,0.906,15.915999,0.242,data/processed/food-nutrients/images/000908.jpg
909,train,112.660004,4.306,16.460001,3.982,data/processed/food-nutrients/images/000909.jpg
910,train,171.316879,4.611491,17.637623,10.029442,data/processed/food-nutrients/images/000910.jpg
911,train,197.377884,4.947491,23.811623,10.071443,data/processed/food-nutrients/images/000911.jpg
912,train,198.937866,5.127491,24.075623,10.095443,data/processed/food-nutrients/images/000912.jpg
913,train,339.5979,14.747491,24.439625,21.015444,data/processed/food-nutrients/images/000913.jpg
914,train,94.527,1.215,22.112999,0.243,data/processed/food-nutrients/images/000914.jpg
915,val,142.09024,2.847845,5.810329,12.929943,data/processed/food-nutrients/images/000915.jpg
916,train,152.320267,3.441845,8.12033,12.962943,data/processed/food-nutrients/images/000916.jpg
917,train,329.716248,32.1376,10.521854,18.145134,data/processed/food-nutrients/images/000917.jpg
918,train,92.554443,14.971699,1.252969,2.703752,data/processed/food-nutrients/images/000918.jpg
919,train,115.954453,16.2197,5.698969,2.781752,data/processed/food-nutrients/images/000919.jpg
920,train,340.108368,39.618752,10.659495,14.154275,data/processed/food-nutrients/images/000920.jpg
921,train,389.068359,40.626755,20.451496,15.162277,data/processed/food-nutrients/images/000921.jpg
922,train,411.388397,41.922752,25.491495,15.234276,data/processed/food-nutrients/images/000922.jpg
923,train,591.07843,49.472755,63.241493,15.838277,data/processed/food-nutrients/images/000923.jpg
924,train,48.244003,0.63549,1.893843,4.500726,data/processed/food-nutrients/images/000924.jpg
925,train,54.444004,0.99549,3.293843,4.520726,data/processed/food-nutrients/images/000925.jpg
926,val,122.274002,3.84549,17.543842,4.748726,data/processed/food-nutrients/images/000926.jpg
927,train,318.821899,26.887257,24.92885,26.924074,data/processed/food-nutrients/images/000927.jpg
928,train,9.900001,0.495,2.145,0.11,data/processed/food-nutrients/images/000928.jpg
929,train,12.800001,0.785,2.725,0.11,data/processed/food-nutrients/images/000929.jpg
930,val,20.59,0.956,4.625,0.148,data/processed/food-nutrients/images/000930.jpg
931,train,25.550001,1.173,5.679,0.21,data/processed/food-nutrients/images/000931.jpg
932,train,60.200001,7.683,5.679,0.966,data/processed/food-nutrients/images/000932.jpg
933,train,69.12085,1.433316,3.531324,5.892522,data/processed/food-nutrients/images/000933.jpg
934,train,103.320847,1.908316,12.081323,5.987522,data/processed/food-nutrients/images/000934.jpg
935,train,115.100845,2.592316,14.741324,6.025522,data/processed/food-nutrients/images/000935.jpg
936,train,181.740845,5.392316,28.741323,6.249522,data/processed/food-nutrients/images/000936.jpg
937,train,360.679474,34.337601,31.163731,11.476776,data/processed/food-nutrients/images/000937.jpg
938,val,53.941677,1.081126,2.205773,4.908589,data/processed/food-nutrients/images/000938.jpg
939,train,60.97168,1.747126,3.574773,4.982589,data/processed/food-nutrients/images/000939.jpg
940,train,138.498901,10.835825,6.48775,13.729533,data/processed/food-nutrients/images/000940.jpg
941,train,180.938934,12.075824,15.287749,14.689533,data/processed/food-nutrients/images/000941.jpg
942,train,457.578918,23.515823,49.60775,24.777534,data/processed/food-nutrients/images/000942.jpg
943,train,26.391596,0.547266,1.348324,2.249872,data/processed/food-nutrients/images/000943.jpg
944,train,206.872757,29.742077,3.791613,7.522188,data/processed/food-nutrients/images/000944.jpg
945,train,210.282761,29.940079,4.561613,7.533189,data/processed/food-nutrients/images/000945.jpg
946,train,258.382751,30.939077,14.921614,7.644188,data/processed/food-nutrients/images/000946.jpg
947,train,205.283386,24.065845,7.713231,23.160921,data/processed/food-nutrients/images/000947.jpg
948,test,318.333374,28.815844,31.46323,23.540922,data/processed/food-nutrients/images/000948.jpg
949,test,351.583435,31.095846,38.113228,23.920921,data/processed/food-nutrients/images/000949.jpg
950,train,405.703369,35.031845,43.402229,26.503923,data/processed/food-nutrients/images/000950.jpg
951,train,67.098175,1.344815,2.743767,6.105806,data/processed/food-nutrients/images/000951.jpg
952,train,88.592773,1.750025,3.411251,8.15613,data/processed/food-nutrients/images/000952.jpg
953,train,113.672775,2.058025,9.571251,8.28813,data/processed/food-nutrients/images/000953.jpg
954,train,141.67276,2.338025,16.85125,8.34413,data/processed/food-nutrients/images/000954.jpg
955,train,183.252747,3.418025,26.031246,8.398129,data/processed/food-nutrients/images/000955.jpg
956,train,245.280746,6.892025,26.787249,13.31213,data/processed/food-nutrients/images/000956.jpg
